"","iid","id","gender","idg","condtn","wave","round","position","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","age","field","field_cd","race","imprace","imprelig","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","race_explained","race_explained_o","field_explained","imprelig_o","imprace_o","goal_o","date_o","go_out_o","sports_o","tvsports_o","exercise_o","dining_o","museums_o","art_o","hiking_o","gaming_o","clubbing_o","reading_o","tv_o","theater_o","movies_o","concerts_o","music_o","shopping_o","yoga_o","exphappy_o"
"31",4,4,0,7,1,1,10,6,3,1,11,0,-0.18,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,4,10,8,5,8,7,6,7,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","European","Law",3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"32",4,4,0,7,1,1,10,6,2,2,12,0,-0.18,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,8,7,8,10,7,8,8,1,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","European","Law",1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"33",4,4,0,7,1,1,10,6,9,3,13,0,0.05,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,4,7,8,8,6,7,4,1,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","Asian","Law",5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"34",4,4,0,7,1,1,10,6,4,4,14,1,-0.18,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,8,10,7,10,7,10,8,10,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","European","Law",1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"35",4,4,0,7,1,1,10,6,6,5,15,0,0.21,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,6,9,8,9,8,9,7,7,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","Latino","Law",1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"36",4,4,0,7,1,1,10,6,5,6,16,0,0.37,1,25,2,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,5,10,8,4,8,2,4,3,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","European","Law",2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"37",4,4,0,7,1,1,10,6,10,7,17,0,0.35,1,30,2,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,7,10,10,7,10,5,5,1,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","European","Law",1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"38",4,4,0,7,1,1,10,6,1,8,18,0,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,5,9,9,5,9,7,6,6,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","European","Law",8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"39",4,4,0,7,1,1,10,6,7,9,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,9,8,10,10,7,8,8,8,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","European","Law",1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"40",4,4,0,7,1,1,10,6,8,10,20,0,-0.19,1,24,2,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,23,"Law",1,2,1,1,1,5,1,"lawyer/policy work",1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,8,9,10,10,8,8,10,8,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,"European","European","Law",1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
