"","iid","gender","match","samerace","age_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","prob_o","age","undergra","mn_sat","tuition","imprace","imprelig","goal","date","go_out","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr","sinc","intel","fun","amb","shar","prob","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","imprelig_o","imprace_o","goal_o","date_o","go_out_o","sports_o","tvsports_o","exercise_o","dining_o","museums_o","art_o","hiking_o","gaming_o","clubbing_o","reading_o","tv_o","theater_o","movies_o","concerts_o","music_o","shopping_o","yoga_o","exphappy_o"
"31",4,0,0,1,27,35,20,20,20,0,5,6,7,8,7,7,5,3,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,4,10,8,5,8,7,7,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"32",4,0,0,1,22,60,0,0,40,0,0,6,5,10,6,6,5,3,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,8,7,8,10,7,8,1,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"34",4,0,1,1,23,30,5,15,40,5,5,7,7,7,9,9,9,10,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,8,10,7,10,7,10,10,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"35",4,0,0,0,24,30,10,20,10,10,20,8,8,9,8,8,9,7,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,6,9,8,9,8,9,7,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"36",4,0,0,1,25,50,0,30,10,0,10,6,6,7,7,8,7,6,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,5,10,8,4,8,2,3,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"37",4,0,0,1,30,35,15,25,10,5,10,7,6,3,5,6,5,4,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,7,10,10,7,10,5,1,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"38",4,0,0,1,27,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,7,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,5,9,9,5,9,7,6,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"39",4,0,1,1,28,50,0,25,10,0,15,7,7,7,10,9,10,8,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,9,8,10,10,7,8,8,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"40",4,0,0,1,24,100,0,0,0,0,0,7,8,8,7,8,7,7,23,"","","",1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,8,9,10,10,8,8,8,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"41",5,0,0,1,27,35,20,20,20,0,5,6,8,8,8,7,6,5,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,5,8,8,2,2,2,5,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"42",5,0,0,1,22,60,0,0,40,0,0,6,7,10,7,6,5,4,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,8,6,6,5,5,5,4,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"43",5,0,0,0,22,19,18,19,18,14,12,10,10,10,10,10,10,10,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,4,6,8,8,6,5,5,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"44",5,0,1,1,23,30,5,15,40,5,5,6,8,6,8,10,10,7,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,8,5,5,7,7,9,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"45",5,0,0,0,24,30,10,20,10,10,20,5,9,9,7,9,5,7,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,6,7,7,5,4,8,4,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"46",5,0,0,1,25,50,0,30,10,0,10,5,8,7,7,7,7,7,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,5,6,7,5,7,8,3,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"47",5,0,0,1,30,35,15,25,10,5,10,2,3,4,4,5,3,3,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,6,6,8,5,5,6,3,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"48",5,0,0,1,27,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,5,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,5,5,7,6,7,5,4,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"49",5,0,1,1,28,50,0,25,10,0,15,5,9,9,9,9,6,7,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,7,5,7,8,7,9,4,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"50",5,0,0,1,24,100,0,0,0,0,0,3,10,7,7,10,5,10,21,"","","",8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,9,6,7,9,6,5,3,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"51",6,0,0,0,27,35,20,20,20,0,5,7,9,8,9,8,4,4,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,6,9,7,6,7,6,6,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"52",6,0,0,0,22,60,0,0,40,0,0,6,8,10,6,7,6,4,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,6,9,9,6,8,2,6,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
